DATE,IC4WSA
1996-11-01,337800.000000000000
1996-12-01,347812.500000000000
1997-01-01,344562.500000000000
1997-02-01,328687.500000000000
1997-03-01,318550.000000000000
1997-04-01,323937.500000000000
1997-05-01,326600.000000000000
1997-06-01,324500.000000000000
1997-07-01,325562.500000000000
1997-08-01,322950.000000000000
1997-09-01,321125.000000000000
1997-10-01,312500.000000000000
1997-11-01,312700.000000000000
1997-12-01,316062.500000000000
1998-01-01,318800.000000000000
1998-02-01,317375.000000000000
1998-03-01,316812.500000000000
1998-04-01,312625.000000000000
1998-05-01,309800.000000000000
1998-06-01,322500.000000000000
1998-07-01,345000.000000000000
1998-08-01,318250.000000000000
1998-09-01,306875.000000000000
1998-10-01,307400.000000000000
1998-11-01,315250.000000000000
1998-12-01,313812.500000000000
1999-01-01,327750.000000000000
1999-02-01,305062.500000000000
1999-03-01,303187.500000000000
1999-04-01,308000.000000000000
1999-05-01,302300.000000000000
1999-06-01,297687.500000000000
1999-07-01,294300.000000000000
1999-08-01,296187.500000000000
1999-09-01,287812.500000000000
1999-10-01,293350.000000000000
1999-11-01,282062.500000000000
1999-12-01,281437.500000000000
2000-01-01,285300.000000000000
2000-02-01,294125.000000000000
2000-03-01,279625.000000000000
2000-04-01,269000.000000000000
2000-05-01,282500.000000000000
2000-06-01,285750.000000000000
2000-07-01,293150.000000000000
2000-08-01,307125.000000000000
2000-09-01,306400.000000000000
2000-10-01,299187.500000000000
2000-11-01,318125.000000000000
2000-12-01,341450.000000000000
2001-01-01,343187.500000000000
2001-02-01,361937.500000000000
2001-03-01,383500.000000000000
2001-04-01,391250.000000000000
2001-05-01,394000.000000000000
2001-06-01,400750.000000000000
2001-07-01,396312.500000000000
2001-08-01,396875.000000000000
2001-09-01,411550.000000000000
2001-10-01,478062.500000000000
2001-11-01,455750.000000000000
2001-12-01,430750.000000000000
2002-01-01,409375.000000000000
2002-02-01,404312.500000000000
2002-03-01,401700.000000000000
2002-04-01,438187.500000000000
2002-05-01,413500.000000000000
2002-06-01,392900.000000000000
2002-07-01,387125.000000000000
2002-08-01,390350.000000000000
2002-09-01,405500.000000000000
2002-10-01,406562.500000000000
2002-11-01,400000.000000000000
2002-12-01,405250.000000000000
2003-01-01,397562.500000000000
2003-02-01,405375.000000000000
2003-03-01,424050.000000000000
2003-04-01,429625.000000000000
2003-05-01,429500.000000000000
2003-06-01,423750.000000000000
2003-07-01,418500.000000000000
2003-08-01,400750.000000000000
2003-09-01,401000.000000000000
2003-10-01,383625.000000000000
2003-11-01,369900.000000000000
2003-12-01,360187.500000000000
2004-01-01,356300.000000000000
2004-02-01,365625.000000000000
2004-03-01,346250.000000000000
2004-04-01,345125.000000000000
2004-05-01,339000.000000000000
2004-06-01,346062.500000000000
2004-07-01,343850.000000000000
2004-08-01,340750.000000000000
2004-09-01,337750.000000000000
